avg_quiz_score,attempts_per_topic,days_since_last_revision,quiz_score_variance,time_spent_per_question,mastered
0.55,6,7,0.0,39.4,0
0.55,8,28,0.18,67.0,0
0.25,9,11,0.14,28.6,0
0.48,8,24,0.1,41.5,0
0.46,6,7,0.1,30.3,0
0.67,1,7,0.07,49.8,0
0.36,5,12,0.14,74.6,0
0.57,4,25,0.11,56.0,0
0.34,4,2,0.18,39.9,0
0.29,3,27,0.17,44.5,0
0.18,3,27,0.23,30.6,0
0.65,7,29,0.02,37.8,0
0.6,9,26,0.03,35.8,0
0.46,6,8,0.0,48.6,0
0.55,8,21,0.12,62.0,0
0.47,8,22,0.08,46.8,0
0.68,9,15,0.15,22.8,0
0.52,7,25,0.05,26.2,0
0.21,2,24,0.16,74.3,0
0.39,4,0,0.1,19.0,0
0.5,9,10,0.14,51.1,0
0.67,9,1,0.03,28.5,1
0.4,7,2,0.17,28.9,0
0.53,9,26,0.08,57.7,0
0.31,6,16,0.21,57.2,0
0.73,1,13,0.07,35.3,1
0.27,4,2,0.18,41.4,0
0.35,5,25,0.06,34.1,0
0.57,6,27,0.14,36.5,0
0.21,4,18,0.15,45.5,0
0.55,9,21,0.12,35.5,0
0.6,7,3,0.02,51.4,0
0.39,6,4,0.08,40.5,0
0.42,4,1,0.08,39.9,0
0.51,8,11,0.04,79.1,0
0.72,2,11,0.09,44.2,1
0.29,5,0,0.14,58.1,0
0.78,5,26,0.06,42.3,0
0.5,7,9,0.13,53.3,0
0.53,8,16,0.05,46.3,0
0.22,2,28,0.2,27.5,0
0.59,8,16,0.11,53.2,0
0.4,7,24,0.2,64.5,0
0.15,4,16,0.11,58.8,0
0.22,8,19,0.14,10.0,0
0.39,8,10,0.22,55.1,0
0.38,5,7,0.04,50.3,0
0.34,4,27,0.18,22.2,0
0.11,4,7,0.25,55.6,0
0.5,9,24,0.0,39.2,0
0.42,6,18,0.11,62.5,0
0.36,4,15,0.23,68.5,0
0.43,8,25,0.05,41.0,0
0.43,7,19,0.11,15.7,0
0.24,1,23,0.08,62.2,0
0.82,2,24,0.0,40.5,0
0.36,8,18,0.17,49.9,0
0.7,1,7,0.05,43.7,1
0.36,3,11,0.21,55.6,0
0.56,8,18,0.15,68.5,0
0.52,6,5,0.1,77.6,0
0.66,4,27,0.12,41.5,0
0.26,3,7,0.18,22.7,0
0.27,4,18,0.12,44.6,0
0.5,7,13,0.11,85.7,0
0.4,9,16,0.08,60.1,0
0.59,9,13,0.18,32.8,0
0.35,6,25,0.12,32.6,0
